instance,timestamp,original_band,biggest_degree,smallest_degree,smallest_eigenvector,biggest_eigenvector,biggest_katz,smallest_katz,biggest_closeness,smallest_closeness,biggest_harmonic,smallest_harmonic,biggest_betweenness,smallest_betweenness
instance,timestamp,original_band,biggest_degree,smallest_degree,smallest_eigenvector,biggest_eigenvector,biggest_katz,smallest_katz,biggest_closeness,smallest_closeness,biggest_harmonic,smallest_harmonic,biggest_betweenness,smallest_betweenness
instance,timestamp,original_band,biggest_degree,smallest_degree,smallest_eigenvector,biggest_eigenvector,biggest_katz,smallest_katz,biggest_closeness,smallest_closeness,biggest_harmonic,smallest_harmonic,biggest_betweenness,smallest_betweenness
dwt_918,25/02/2022 00:22:56,395,147,145,147,159,181,127,179,127,161,127,173,145
bcspwr04,25/02/2022 00:22:59,499,161,113,101,137,137,101,151,133,133,133,151,113
can_445,25/02/2022 00:23:10,815,205,237,297,205,205,297,227,189,227,189,227,297
gre__512,25/02/2022 00:23:21,129,77,73,73,199,199,73,199,73,199,73,199,73
gr_30_30,25/02/2022 00:24:00,119,119,119,119,227,225,119,225,119,231,119,227,119
instance,timestamp,original_band,biggest_degree,smallest_degree,smallest_eigenvector,biggest_eigenvector,biggest_katz,smallest_katz,biggest_closeness,smallest_closeness,biggest_harmonic,smallest_harmonic,biggest_betweenness,smallest_betweenness
dwt_918,25/02/2022 00:28:41,395,147,145,147,159,181,127,179,127,161,127,173,145
bcspwr04,25/02/2022 00:28:46,499,161,113,101,137,137,101,151,133,133,133,151,113
can_445,25/02/2022 00:28:56,815,205,237,297,205,205,297,227,189,227,189,227,297
gre__512,25/02/2022 00:29:08,129,77,73,73,199,199,73,199,73,199,73,199,73
gr_30_30,25/02/2022 00:29:47,119,119,119,119,227,225,119,225,119,231,119,227,119
instance,timestamp,original_band,biggest_degree,smallest_degree,smallest_eigenvector,biggest_eigenvector,biggest_katz,smallest_katz,biggest_closeness,smallest_closeness,biggest_harmonic,smallest_harmonic,biggest_betweenness,smallest_betweenness
